S.No,Customer ,PO.No,PO.Date,Material Descriptions,TYPE No.,Qty,Make,Remarks,,
,,,,CU I/O Extension,6SL3255-0BE00-0AA0,4,Siemens,to be booked,,
,,,,,,,,,,
,Triveni Engineering & Industries Ltd,4300038338,"Thursday, June 24, 2021",SIEMENS ITEMS,,,,,,
,,,,,6SL32000SC000BA0,1,Siemens,8-10 weeks ,,
,,,,,6SL32000SC100FA0,1,Siemens,8-10 weeks ,,
,,,,,6SL32000SF180AA0,1,Siemens,8-10 weeks ,,
,,,,,A5E38508031,1,Siemens,8-10 weeks ,,
,,,,, A5E31429340,1,Siemens,8-10 weeks ,,
,,,,,A5E35458985,1,Siemens,8-10 weeks ,,
,,,,,A5E35530228,2,Siemens,8-10 weeks ,,
,,,,,A5E36228237,1,Siemens,8-10 weeks ,,
,,,,,A5E37171309,1,Siemens,8-10 weeks ,,
,,,,,A5E37602990,1,Siemens,8-10 weeks ,,
,,,,,A5E41929951,1,Siemens,8-10 weeks ,,
,,,,,6SL32000SF170AA,1,Siemens,8-10 weeks ,,
,Cavendish Indl.Ltd,2800031911,"Saturday, June 26, 2021",PLC 1200 Set,,,,,,
,,,1,SIMATIC HMI MTP1200 Unified Comfort,6AV21283MB060AX0,1,Siemens,3007324635 FCD 21.08.21,,
,,,2,"SIMATIC S7-1200, CPU 1214C, compact CPU, DC/DC/relay",6ES7214-1HG40-0XB0,1,Siemens,In stock,,
,,,3,"SIMATIC S7-1200, Digital I/O SM 1223, 16 DI/16 DO",6ES7223-1PL32-0XB0,1,Siemens,In stock,,
,,,4,"SIMATIC S7-1200, Analog input, SM 1231, 4 AI",6ES7231-4HD32-0XB0,1,Siemens,In stock,,
,,,5,"SIMATIC S7-1200, Analog output, SM 1232, 2 AO",6ES7232-4HB32-0XB0,2,Siemens,In stock,,
,,,6,"SIMATIC S7,4 MB",6ES7954-8LC03-0AA0,1,Siemens,In stock,,
,,,7,SIWAREX WP231 ,7MH4960-2AA01,2,Siemens,To be booked,,
,,,8,"SIMATIC HMI SD memory card, 2 GB",6AV21818XP000AX0,1,Siemens,In stock,,
,,,9,power supply 6.2A,6EP13331LD00,1,Siemens,In stock,,
,Cavendish Indl.Ltd,1100013338,"Tuesday, June 29, 2021","PWR MODULE 6ES7138-4CB11-0AB0,SIEMENs",6ES7138-4CB11-0AB0,5,Siemens,Cotmac Pune within week,,
,Cavendish Indl.Ltd,1200008932,"Tuesday, June 29, 2021","PART CODE-6EP14372BA20,SIEMENS",6EP14372BA20,1,Siemens,booked   6-7 week,,
,ITC Haridwar,4600050676,"Friday, June 25, 2021",Siemens Make SMPS 20 A& 40 A ,6EP14372BA20,2,Siemens,booked   6-7 week,,
,,,,,6EP14362BA10,2,Siemens,In stock,,
,Hero MotoCorp Ltd.,7100025160,"Thursday, May 6, 2021",Power supply Sitop 30- 6EP3437-8UB00-0AY0,6EP3437-8UB00-0AY0,1,Siemens,Cotmac Pune within week,,
,Cavendish Indl.Ltd,1200008941,"Wednesday, June 30, 2021","CARD,TYPE:ANALOG OUTPUT,SIEMENS,",6ES7332-5HF00-0AB0,1,Siemens,To be booked,,
,Cavendish Indl.Ltd,1200008996,"Friday, July 9, 2021","G120, PM240-2. CU240E-2 DP, 4KW  6SL32101PE214U, BOP",,,,,,
,,,,PM240-2,6SL3210-1PE21-4UL0,1,Siemens,To be booked,,
,,,,CU240E-2 DP,6SL3244-0BB12-1PA1,1,Siemens,In stock,,
,,,,BOP,6SL3255-0AA00-4CA1,1,Siemens,To be booked,,
,Cavendish Indl.Ltd,1200008997,"Friday, July 9, 2021",Cable -200Meter & OUTBOUND- -20 Nos,,,,,,
,,,,,6GK1901-1BB10-2AA0,20,Siemens,To be booked,,
,,,,,6XV1840-2AH10,200,Siemens,To be booked,,
,HI-MAK PRIVATE LIMITED,HPL/PO/21-22/69,"Tuesday, June 29, 2021",SIEMENS ITEMS,,,,,,
,,,,1,6ES7390-1AE80-0AA0,1,Siemens,In stock,,
,,,,2,6ES7132-6BD20-0BA0,1,Siemens,In stock,,
,Triveni Engineering & Industries Ltd,4300038523,"Wednesday, July 14, 2021",450KW G120XA ,6SL3225-2YD62-0CB0,1,Siemens,to be booked,,
,HEEP,R1W0372,"Thursday, July 8, 2021",PDB Fan for motor & PLC control of ACPT,,,IAG PKL,GA available in 6-7 days,,
,CFFP,CFF/SFM/21-22/LRP/01,"Friday, July 16, 2021",Continous sand Mixer machine ,,,,,,
,,,,SIMATIC HMI KTP400 Basic,6AV21232DB030AX0,1,Siemens,In stock,,
,,,,"CPU SR40, AC/DC/Relay, 24DI/16DO",6ES72881SR400AA0,1,Siemens,In stock,,
,,,,"Analog I/O SM AM06, 4AI/2AO",6ES72883AM060AA0,1,Siemens,In stock,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
