Material,Material Description,Plnt,SLoc,S,Unrestr.,Total Value,Special stock number
563940,"ET-200SP,BU15-P16+A0+2D-SIEMENS     ",HRWB,AUT,,8,"19,085.01",
673000,"ET200SP-DQ8X24VDC/0,5A-SIEMENS",HRWB,AUT,,2,"6,420.29",
673010,"ET200SP, DQ 16X24V SIMATIC ET200SP",HRWB,AUT,,1,"32,490.00",
673043,"ET200S-2AI,VOLTAGE,STANDARD-SIEMENS",HRWB,AUT,,2,"95,418.00",
673203,"ET200S-2AI,VOLTAGE,STANDARD-SIEMENS",HRWB,AUT,Q,1,"31,806.00",C/4167/11
673303,"ET200S-2AI,VOLTAGE,STANDARD-SIEMENS",HRWB,AUT,Q,17,"15,903.00",C/4167/12
674513,"ET200S-2AI,ELECTRONIC MODULE-SIEMENS",HRWB,AUT,,9,"81,883.74",
674515,"ET200S-2AI,CURRENT,STD,2,WIRE-SIEMENS",HRWB,AUT,,1,"14,977.03",
674516,"ET200S-2AI I,HIGH SPEED 2-WIRE-SIEMENS",HRWB,AUT,,1,"11,886.35",
675501,"ET200S-4AI,CURRENT,STD,4,WIRE-SIEMENS",HRWB,AUT,,15,"1,41,304.86",
675554,"ET200S-4AI,CURRENT,STD,4,WIRE-SIEMENS",HRWB,AUT,Q,15,"10,869.60",C/4167/11
675563,"ET200S-2AI,RTD-SIEMENS",HRWB,AUT,Q,15,"16,517.00",C/4167/11
711344,"ET200S-2AI I,HF,2/4W,15BIT+SIGN-SIEMENS",HRWB,AUT,,237,"8,336.52",
719074,ET200SP-AI2XU STND-SIEMENS,HRWB,AUT,,40,"68,956.50",
719087,ET200SP-AI 4XI 2-/4-WIRE STD-SIEMENS,HRWB,AUT,,38,"1,19,371.84",
719100,"SIMATIC ET 200SP, 4AI",HRWB,AUT,,53,"1,81,899.20",
719223,ET200SP-AI 4XU/I 2-WIRE  STD-SIEMENS,HRWB,AUT,,167,"1,29,972.96",
719236,ET200B-4AO-SIEMENS      ,HRWB,AUT,,279,"32,917.24",
719249,ET200B-4AO-SIEMENS      ,HRWB,AUT,Q,86,"10,972.41",C/4167/11
719252,ET200B-4AO-SIEMENS      ,HRWB,AUT,Q,50,"10,972.42",C/4167/12
750107,ET200S-ELECTRONIC MOD 2 AO-SIEMENS,HRWB,AUT,,4,"23,772.70",
751107,"ET200S-2AO,CURRENT,STANDARD-SIEMENS",HRWB,AUT,,3,"24,032.77",
774300,"ELECTRONIC MODULE 2AO,HIGH SPEED-SIEMENS",HRWB,AUT,,7,"67,752.18",
790446,"ET200S-2AO I,HF,2/4W,15BIT+SIGN-SIEMENS",HRWB,AUT,,42,"7,389.72",
790608,"ET-200SP,AO AQ 2U/HIGH SPEED-SIEMENS",HRWB,AUT,,30,"72,581.67",
800886,ET200SP-F-DI 8X24VD ELECTRON MOD-SIEMENS,HRWB,AUT,,253,"45,085.22",
803390,"ET 200SP, F-DQ 4XDC 24V/2A-SIEMENS",HRWB,AUT,,7,"70,986.36",
803419,ET200SP-CM PTP COMM MOD-SIEMENS,HRWB,AUT,,4,"1,16,804.68",
803421,ET200S-PM-E 24VDC(1UNIT)-SIEMENS,HRWB,AUT,,2,"36,760.31",
803423,ET200S-PM-E 24VDC(1UNIT)-SIEMENS,HRWB,AUT,Q,1,"4,595.04",C/4167/11
804000,ET200S-PM-E 24VDC(1UNIT)-SIEMENS,HRWB,AUT,Q,3,"6,126.72",C/4167/12
804152,"ET200S-PM-EF PROFISAFE,24VDC(1U)-SIEMENS",HRWB,AUT,,10,"1,18,332.00",
806767,"ET200S-PM-EF PROFISAFE,24VDC(1U)-SIEMENS",HRWB,AUT,Q,75,"39,444.00",C/4167/12
807575,ET200S-1CH SI INTMOD->ASCII&3964-SIEMENS,HRWB,AUT,,104,"11,461.32",
808257,"ET200S-1SI,INTMOD,MODBUSUS,PROT-SIEMENS",HRWB,AUT,,19,"38,245.83",
809421,"ET200S-1SI,INTMOD,MODBUSUS,PROT-SIEMENS",HRWB,AUT,Q,23,"12,748.61",C/4167/12
811969,"ET200S-4/8FDI PROFISAFE 24V,30MM-SIEMENS",HRWB,AUT,,251,"22,593.55",
828987,ET200S-4F DO->SIL3 & SIL2-SIEMENS,HRWB,AUT,,30,"9,365.76",
884110,"IM151-7CPU,INTERFACE MODULE-SIEMENS",HRWB,AUT,,1,"74,553.72",
916603,"IM151-7CPU,INTERFACE MODULE-SIEMENS",HRWB,AUT,Q,18,"74,553.72",C/4167/11
916604,"ET200S-IM151-1,HF,INT MOD-SIEMENS",HRWB,AUT,Q,2,"27,888.00",C/4167/11
1004089,"ET200S,IM151,32DI STDDC24VEXP12-SIEMENS",HRWB,AUT,,124,"17,846.00",
1004348,"ET200S-IM151-3PN,MMC REQD-SIEMENS",HRWB,AUT,,117,"62,244.00",
1005266,"ET200S-IM151-3PN,HF,MMC REQD-SIEMENS",HRWB,AUT,,293,"76,608.00",
1065857,"ET200S IM151-7 CPU,96kB-SIEMENS",HRWB,AUT,,1,"1,63,248.00",
1100077,"ET200S IM151-7 CPU,96kB-SIEMENS",HRWB,AUT,Q,1,"81,624.00",C/4167/12
1201413,"ET200S,IM151-8 PN/DP CPU,128kB-SIEMENS",HRWB,AUT,,295,"1,67,218.91",
1201442,ET200SP-IM155-6PN ST-SIEMENS,HRWB,AUT,,519,"1,09,277.70",
1201468,ET200SP-IM155-6PN ST-SIEMENS,HRWB,AUT,Q,17,"31,225.11",C/4167/12
1201662,"ET200SP,IM155-6PN BASIC-SIEMENS",HRWB,AUT,,13,"87,399.36",
1404513,"ET200S-TERM MOD,2X6 SCRW TERM-SIEMENS",HRWB,AUT,,5,"23,342.18",
1404514,"ET200S-TERM MOD,2X6 SCRW TERM-SIEMENS",HRWB,AUT,Q,6,"1,945.18",C/4167/11
1449602,"TERM MOD,E15C26-A1-SIEMENS",HRWB,AUT,,1,"8,415.40",
1451588,"ET200S-TERM MOD,2X4 SCREW TERM-SIEMENS",HRWB,AUT,,1,"4,904.45",
1452796,"ET200S-TERM MOD,2X4 SCREW TERM-SIEMENS",HRWB,AUT,Q,13,"3,269.64",C/4167/11
1500224,"ET200S-TERM MOD->PM,2X3 SCRWTERM-SIEMENS",HRWB,AUT,,15,"2,106.56",
1516810,"ET200S-TERM MOD->PM,2X3 SCRWTERM-SIEMENS",HRWB,AUT,Q,4,601.87,C/4167/11
1516836,"ET200S-TERM MOD->PM,2X3 SCRWTERM-SIEMENS",HRWB,AUT,Q,2,"1,504.68",C/4167/12
1517107,ET200S-TM-P15S23-A1 SCRW TYP 5PC-SIEMENS,HRWB,AUT,,3,"10,639.51",
1533615,"ET200S-TERM MOD->PM,2X3 SCRWTERM-SIEMENS",HRWB,AUT,,22,"1,535.10",
1619768,SIMATIC BUSADAPTER BA 2X2RJ45-SIEMENS,HRWB,AUT,,3,"2,572.73",
1619772,ET200SP-BU15-P16+A0+2D W/O AUX-SIEMENS,HRWB,AUT,,1,"2,787.74",
1619972,ET200SP-BU15 PUSH-IN TERMINAL-SIEMENS,HRWB,AUT,,5,"13,601.44",
1619988,"SIMATIC ET 200SP,BU TYPE AO",HRWB,AUT,,1,"17,328.00",
1662968,"SIMATIC ET 200SP,BU TYPE AO",HRWB,AUT,Q,4,"13,992.20",C/4167/12
1663116,"S7 1200-CPU 1211C,6DI,AC/DC/RLY-SIEMENS",HRWB,AUT,,4,"12,096.00",
1668111,"S7-200,CPU222,14DI/O,4kB,A/D/R-SIEMENS",HRWB,AUT,,6,"6,404.00",
1668124,"S7 1200,CPU 1214C,DC/DC /DC-SIEMENS",HRWB,AUT,,28,"2,73,557.40",
1668373,"S7 1200,CPU 1214C,DC/DC /DC-SIEMENS",HRWB,AUT,Q,30,"28,299.13",C/4167/11
1668386,"S7 1200,CPU 1214C,DC/DC /DC-SIEMENS",HRWB,AUT,Q,18,"27,756.54",C/4167/12
